Cookie,cookie_descrip,Anderson,Chris,Dzhuliya,Elaine,Emily,Heather,Jessica,Jo,Jon,Keira,Matt B.,Rachel,Roberto
A,All brown sugar,1,2,3,2,1,2,2,2,2,1,2,2,1
B,"1 egg, 1c. milk and a lot of extra flour",1,2,1,1,1,1,1,1,1,1,1,1,1
C,Store-bought Tollhouse Dough,3,2,2,2,2,3,2,1,2,2,2,2,2
D,Alton Brown,3,2,2,2,2,2,2,1,2,2,2,2,2
E,Walnuts,1,3,2,1,2,2,1,1,2,1,2,2,2
F,Cake flour and baking powder; no baking soda,3,3,2,2,2,3,3,1,3,2,2,3,2
G,All white sugar,1,2,2,1,1,2,1,1,2,2,2,2,2
H,Salted Butter,3,2,2,2,2,2,2,1,2,1,2,2,2
I,All shortening,2,2,2,2,1,2,1,2,1,1,2,2,1
J,Chilled Dough,2,2,2,2,2,2,3,2,3,1,2,3,2
K,Mini chocolate chips,2,2,2,1,2,1,2,1,2,2,2,3,2
L,Cocoa Powder,2,2,2,2,2,2,1,1,2,3,2,2,2
M,Betty Crocker,1,2,1,2,2,2,3,1,2,3,1,2,2
N,Chunks,1,2,3,2,2,2,2,1,2,2,3,1,1
O,Extra flour,2,2,2,2,2,2,3,2,3,3,2,2,2
P,Classic Tollhouse,2,1,2,2,1,2,2,1,1,1,2,2,2
Q,Half shortening. half butter,1,2,2,2,2,1,1,1,2,1,2,2,2
R,Melted Butter,3,1,2,2,2,2,1,2,2,2,3,2,2